Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
0, 7, 245909504.0, 172441600, 240868352.0, 127576064, 16831766491318984704, 16831766491651115008, 16831766491651313664, 16831766491491624960
1, 7, 228355072.0, 108853248, 240868352.0, 127576064, 16831766491493863424, 16831766491776645120, 16831766491776780288, 16831766491602851840
2, 7, 235006976.0, 120203264, 228355072.0, 108853248, 16831766491604088832, 16831766491899197440, 16831766491899336704, 16831766491724431360
3, 7, 232044544.0, 139051008, 228355072.0, 108853248, 16831766491725729792, 16831766492027299840, 16831766492027432960, 16831766491864913920
4, 7, 225972224.0, 116142080, 228355072.0, 108853248, 16831766491866241024, 16831766492150284288, 16831766492150419456, 16831766491982518272
5, 7, 225515520.0, 117035008, 228355072.0, 108853248, 16831766491984482304, 16831766492268515328, 16831766492268683264, 16831766492101685248
6, 7, 225349632.0, 129753088, 228355072.0, 108853248, 16831766492102483968, 16831766492392710144, 16831766492393095168, 16831766492232622080
7, 7, 235919360.0, 122245120, 228355072.0, 108853248, 16831766492233641984, 16831766492530683904, 16831766492530823168, 16831766492356026368
0, 8, 315834368.0, 327544832, 228355072.0, 108853248, 16831767523213494272, 16831767523693101056, 16831767523693293568, 16831767523541231616
1, 8, -28078080.0, 635719680, 228355072.0, 108853248, 16831767523543812096, 16831767523833593856, 16831767523833722880, 16831767524179660800
2, 8, 222586880.0, 120954880, 225972224.0, 116142080, 16831767524180944896, 16831767524464009216, 16831767524464134144, 16831767524302024704
3, 8, -42129408.0, 672829440, 225972224.0, 116142080, 16831767524303212544, 16831767524597497856, 16831767524597635072, 16831767524976179200
4, 8, 92052480.0, 382597120, 225972224.0, 116142080, 16831767524977459200, 16831767525260810240, 16831767525260947456, 16831767525360193536
5, 8, 223337472.0, 125073408, 225515520.0, 117035008, 16831767525361332224, 16831767525647206400, 16831767525647339520, 16831767525486538752
6, 8, 222495744.0, 114227200, 222586880.0, 120954880, 16831767525487505408, 16831767525767114752, 16831767525767256064, 16831767525601873920
7, 8, 224064512.0, 125442048, 222495744.0, 114227200, 16831767525602742272, 16831767525889527808, 16831767525889660928, 16831767525728317440
0, 9, 378521600.0, 180637696, 222495744.0, 114227200, 16831768556381630464, 16831768556850470912, 16831768556850651136, 16831768556562448384
1, 9, 375602176.0, 122849280, 222495744.0, 114227200, 16831768556564209664, 16831768557001236480, 16831768557001326592, 16831768556687149056
2, 9, 360297472.0, 138602496, 222495744.0, 114227200, 16831768556688316416, 16831768557117915136, 16831768557118005248, 16831768556827009024
3, 9, 335532032.0, 179224576, 222495744.0, 114227200, 16831768556828135424, 16831768557253279744, 16831768557253369856, 16831768557007450112
4, 9, 368801792.0, 108343296, 222495744.0, 114227200, 16831768557009469440, 16831768557432442880, 16831768557432537088, 16831768557117906944
5, 9, 374938624.0, 124160000, 368801792.0, 108343296, 16831768557119238144, 16831768557556256768, 16831768557556346880, 16831768557243488256
6, 9, 380784640.0, 141668352, 368801792.0, 108343296, 16831768557244893184, 16831768557696512000, 16831768557696598016, 16831768557386647552
7, 9, 373411840.0, 125739008, 368801792.0, 108343296, 16831768557387509760, 16831768557823791104, 16831768557823885312, 16831768557513342976
0, 10, 379791360.0, 166244352, 368801792.0, 108343296, 16831769588314812416, 16831769588777725952, 16831769588777877504, 16831769588481208320
1, 10, 368109568.0, 234995712, 368801792.0, 108343296, 16831769588483751936, 16831769588969359360, 16831769588969451520, 16831769588718839808
2, 10, 373977088.0, 143802368, 368801792.0, 108343296, 16831769588719824896, 16831769589165703168, 16831769589165805568, 16831769588863729664
